group,accuracy,n,true_label
MCAR_block_seed864560445_mr8.txt,1.0,1,MCAR
MCAR_block_seed689263018_mr5.txt,1.0,1,MCAR
MCAR_block_seed575499252_mr9.txt,1.0,1,MCAR
MCAR_block_seed483953814_mr8.txt,1.0,1,MCAR
MCAR_block_seed1420290459_mr1.txt,1.0,1,MCAR
MCAR_block_seed34020073_mr1.txt,1.0,1,MCAR
MCAR_block_seed1930421798_mr5.txt,1.0,1,MCAR
MCAR_block_seed1908203470_mr7.txt,1.0,1,MCAR
MCAR_block_seed1816658032_mr9.txt,1.0,1,MCAR
MCAR_block_seed1800897090_mr10.txt,1.0,1,MCAR
MCAR_block_seed1679339875_mr9.txt,1.0,1,MCAR
MCAR_block_seed1663578933_mr4.txt,1.0,1,MCAR
MCAR_block_seed262883668_mr4.txt,1.0,1,MCAR
MAR_threshold_seed1676282750_mr5.txt,1.0,1,MAR
MAR_threshold_seed1638303480_mr7.txt,1.0,1,MAR
MAR_threshold_seed1592530761_mr3.txt,1.0,1,MAR
MAR_rank_seed291054208_mr9.txt,1.0,1,MAR
MAR_rank_seed237488040_mr8.txt,1.0,1,MAR
MAR_rank_seed2125922272_mr7.txt,1.0,1,MAR
MAR_rank_seed2118128823_mr4.txt,1.0,1,MAR
MAR_rank_seed2080149553_mr5.txt,1.0,1,MAR
MAR_rank_seed1874840349_mr8.txt,1.0,1,MAR
MAR_rank_seed313272536_mr10.txt,1.0,1,MAR
MAR_rank_seed1844828572_mr6.txt,1.0,1,MAR
MAR_rank_seed1645976754_mr4.txt,1.0,1,MAR
MAR_rank_seed16417894_mr1.txt,1.0,1,MAR
MAR_rank_seed1600204035_mr6.txt,1.0,1,MAR
MAR_rank_seed1577985707_mr1.txt,1.0,1,MAR
MAR_rank_seed1532212988_mr2.txt,1.0,1,MAR
MAR_rank_seed1440667550_mr5.txt,1.0,1,MAR
MAR_rank_seed1661737696_mr10.txt,1.0,1,MAR
MAR_rank_seed374806197_mr9.txt,1.0,1,MAR
MAR_rank_seed450590693_mr9.txt,1.0,1,MAR
MAR_rank_seed534342682_mr3.txt,1.0,1,MAR
MAR_threshold_seed1584737312_mr8.txt,1.0,1,MAR
MAR_threshold_seed1576769819_mr9.txt,1.0,1,MAR
MAR_threshold_seed1568976370_mr1.txt,1.0,1,MAR
MAR_threshold_seed1530997100_mr1.txt,1.0,1,MAR
MAR_threshold_seed1500985323_mr1.txt,1.0,1,MAR
MAR_threshold_seed1279915177_mr2.txt,1.0,1,MAR
MAR_threshold_seed1249903400_mr8.txt,1.0,1,MAR
MAR_threshold_seed122508386_mr1.txt,1.0,1,MAR
MAR_threshold_seed1188369739_mr3.txt,1.0,1,MAR
MAR_rank_seed854751715_mr1.txt,1.0,1,MAR
MAR_rank_seed801185547_mr7.txt,1.0,1,MAR
MAR_rank_seed671660839_mr2.txt,1.0,1,MAR
MAR_rank_seed625888120_mr8.txt,1.0,1,MAR
MAR_rank_seed62190613_mr8.txt,1.0,1,MAR
MAR_rank_seed542136131_mr6.txt,1.0,1,MAR
MCAR_fixed_seed1384994795_mr8.txt,1.0,1,MCAR
MNAR_tail_censoring_seed806641046_mr9.txt,1.0,1,MNAR
