trial,accuracy_cv,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_weight
50,0.8111461675579322,411,2,0.10060814895872434,0.647489732673822,0.6995636656129297,2.20392367843765,0.0228050292601151,1
51,0.8569518716577541,52,3,0.006910536880426602,0.6010861949213969,0.9644062377900854,1.221724145079779,0.030634627103899754,1
52,0.8569518716577541,87,3,0.002147065016372728,0.7080133052992121,0.936382762974552,1.108113434764345,0.0772951750587556,2
53,0.8276185383244206,127,2,0.0127066347815766,0.8030678098225053,0.90451517514331,7.186957353158322,0.017708814979931962,1
54,0.8182852049910874,265,4,0.023923301126254782,0.738899629337081,0.8626510576388802,4.330180744392141,0.20398978605466864,2
55,0.8126880570409982,71,4,0.27744351289360814,0.5375434967683507,0.8274148034744783,0.22433372648305344,0.059399506468266215,5
56,0.8569518716577541,387,3,0.001192908046988377,0.760277445432613,0.896037880642562,0.5221313616906365,0.00704742009288872,1
57,0.844951871657754,346,3,0.0017434110738868392,0.6998542156750837,0.9240459260042233,0.019481822267240153,0.33973923917918397,3
58,0.8569518716577541,138,2,0.0039325591994403535,0.9591382511682092,0.8318708528570317,3.0517860744426,0.03537173064759389,4
59,0.8162156862745098,97,4,0.05370327155425034,0.5951900241878545,0.7410571293267219,0.006821926295877974,0.11171842036979118,6
60,0.8409518716577541,161,5,0.005181597397917012,0.8509216523427671,0.7855827506689292,0.08974243789777818,0.7745532218535185,3
61,0.8569518716577541,111,2,0.001233257353338325,0.6718283150253115,0.9757244722455383,0.03776735587380447,0.057894371966304405,2
62,0.8569518716577541,68,2,0.0015464638108983269,0.6924535947863889,0.8635285773550749,0.003409230258611353,0.04567142307339643,1
63,0.8502852049910874,279,2,0.0020209023244207786,0.725656723938783,0.923292772223273,0.001204981201104506,0.0859989212126675,3
64,0.8569518716577541,100,3,0.0025169406071066614,0.6429481330802477,0.8865834643136993,0.04155593768218882,0.14900729369274096,5
65,0.8569518716577541,308,2,0.0010066703124005896,0.7721453149439998,0.8420563146635356,0.38697473458565085,0.02435633536968015,4
66,0.8569518716577541,61,3,0.0012479491927514445,0.743758584417193,0.7985633507464246,0.0022947438567678478,0.19558135550720204,2
67,0.8516185383244206,245,6,0.003281088821147631,0.7922593312356764,0.9745080870462479,0.015485713619688448,7.2920481439531155,1
68,0.8502852049910874,325,5,0.0016538523611915607,0.8357091284761217,0.8582368254262531,0.16769090388090718,0.01552884941387234,4
69,0.8169518716577541,482,3,0.009085141185613465,0.8920493494134341,0.9373539288981723,6.9644488552801045,0.04055526005025817,3
70,0.8569518716577541,178,4,0.0022040043173556594,0.7146735075486603,0.9133442293153815,1.92034526805612,0.06606352346873122,10
71,0.8569518716577541,111,4,0.002928048334893046,0.9257805455175271,0.9990644795736787,5.270075384951822,2.1396429162001036,2
72,0.8569518716577541,128,4,0.0019725389589732947,0.8930314185767674,0.9520028027427051,4.501675319161358,2.9964460319313853,1
73,0.8569518716577541,82,4,0.0014447274685270646,0.9728742345951973,0.9166156999565598,9.853177216018334,0.10993288403359099,2
74,0.8569518716577541,129,5,0.0011055519786538394,0.8164152329821409,0.8904495615550491,1.2060174081657336,1.5780605672045327,1
