feature,rf_importance,perm_importance,mi_score,f_score,p_value,rfe_ranking,rf_importance_norm,perm_importance_norm,mi_score_norm,f_score_norm,combined_score
X0_iqr,0.008685791252200245,-0.0018666666666666831,0.00020367893146655547,0.13090340075734924,0.8773125783171635,1,0.1205648613744876,0.21167883153737574,0.0004520337742206175,9.867084330028619e-05,0.09978324879706316
mi_mask_X2,0.010789002190920905,-0.004000000000000015,0.019461785408214638,1.0824926441316967,0.3390156287482134,7,0.14975890114650356,0.15328467111327224,0.04319241193874563,0.0008159487182523369,0.09971474380933233
max_burst_size,0.0018344651916321149,0.001599999999999957,0.00018060245831552635,0.12138588882074967,0.8857008491653884,5,0.02546366071938725,0.3065693422265433,0.00040081912389300963,9.149684382073412e-05,0.0997083640773219
position_entropy,0.010910974139396156,-0.003733333333333355,0.0,0.07751317353490376,0.9254185547434954,4,0.1514519571540112,0.160583941166285,0.0,5.842697863707705e-05,0.09362245489181627
X0_max,0.0072081507368206045,-0.0024000000000000132,0.0,0.39033401697147463,0.6768997676026334,8,0.10005417688699843,0.19708029143134995,0.0,0.0002942214365748731,0.08919918478281949
missing_rate,0.009894792044662934,-0.005600000000000016,0.026957599528276477,0.04545804906598877,0.9555610099874364,2,0.13734663849905132,0.10948905079519454,0.059828207910132714,3.426483964646028e-05,0.08602320133822958
llm_mcar_conf,0.0,0.0,0.014889227686269546,-0.0,1.0,10,0.0,0.2627737219084668,0.03304432980766932,0.0,0.0854409825340739
position_uniformity_chi2,0.008867431382386564,-0.0040000000000000036,0.0014167814478436291,0.12675344131219798,0.8809603246089924,4,0.1230861535032168,0.15328467111327254,0.0031443265167544693,9.554273512474613e-05,0.08355922123532264
llm_mnar_conf,0.0,0.0,0.0,10.52112676056338,2.9014270722682153e-05,10,0.0,0.2627737219084668,0.0,0.0079304925916962,0.08041821509087928
X0_min,0.007496430084478433,-0.003733333333333344,0.0,0.3908255100975565,0.676567331540526,8,0.10405569598621572,0.1605839411662853,0.0,0.0002945919085484522,0.07945080952746
llm_mar_conf,0.0,0.0,0.0,-0.0,1.0,10,0.0,0.2627737219084668,0.0,0.0,0.07883211657254004
n_runs,0.010355292311026637,-0.005600000000000005,0.0,0.06334586180739933,0.9386213060283995,1,0.14373870447956755,0.10948905079519484,0.0,4.77481071382217e-05,0.07597787620385636
missing_pos_std,0.011426646693912546,-0.006666666666666654,0.0,0.17406164981054473,0.840262132322601,10,0.15860985310668532,0.08029197058314355,0.0,0.00013120216643478845,0.07169678754023562
n_observed,0.009018143935965048,-0.006933333333333336,0.009135626180668321,0.04545804903183748,0.9555610100200681,1,0.12517814922381187,0.07299270053013021,0.020275104315314405,3.4264839620718115e-05,0.06351312875716965
X0_obs_rate_high,0.011240549913538612,-0.008266666666666655,0.0010239777944938133,27.92917891169644,1.235279170201807e-12,3,0.15602669955434334,0.036496350265065876,0.0022725597774414237,0.02105213172429319,0.06242185324616968
n_bursts,0.009262007573518012,-0.008000000000000007,0.0,0.063248199741911,0.9387129704326708,1,0.12856314718221934,0.0437956203180783,0.0,4.767449256209587e-05,0.05171716514860171
n_missing,0.009372227807349408,-0.00960000000000003,0.013256301843378004,0.04545804906585586,0.9555610099875634,1,0.13009308116597468,0.0,0.029420304355111154,3.42648396463601e-05,0.044918838188743905
llm_randomness,0.0,0.0,0.0028838328369285016,,,11,0.0,0.2627737219084668,0.006400219365409394,,
llm_dep_X1,0.0,0.0,0.003530330057676334,,,11,0.0,0.2627737219084668,0.007835019600335846,,
llm_dep_self,0.0,0.0,0.04023107536456627,,,11,0.0,0.2627737219084668,0.08928662727683813,,
llm_temporal,0.0,0.0,0.004990686149642709,,,11,0.0,0.2627737219084668,0.011076053276251543,,
llm_extreme,0.0,0.0,0.01545432769443833,,,11,0.0,0.2627737219084668,0.03429848156340249,,
