modelo,test_group,true_class,n_samples,accuracy,cenario
SVM_RBF,MCAR_autompg_horsepower,MCAR,37,0.3783783783783784,C_full
SVM_RBF,MCAR_breastcancer_barenuclei,MCAR,45,0.8,C_full
SVM_RBF,MCAR_cylinderbands_bladepressure,MCAR,50,0.06,C_full
SVM_RBF,MCAR_cylinderbands_esavoltage,MCAR,50,0.06,C_full
SVM_RBF,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_full
SVM_RBF,MNAR_adult_capitalgain,MNAR,50,0.76,C_full
SVM_RBF,MNAR_colic_refluxph,MNAR,50,0.3,C_full
SVM_RBF,MNAR_cylinderbands_varnishpct,MNAR,50,0.04,C_full
SVM_RBF,MNAR_kidney_pot,MNAR,50,0.16,C_full
SVM_RBF,MNAR_kidney_sod,MNAR,50,0.02,C_full
SVM_RBF,MNAR_mroz_wages,MNAR,50,0.46,C_full
SVM_RBF,MNAR_pima_insulin,MNAR,50,0.0,C_full
GradientBoosting,MAR_airquality_ozone,MAR,50,0.46,C_no_prior
GradientBoosting,MAR_colic_resprate,MAR,50,0.22,C_no_prior
GradientBoosting,MAR_hearth_chol,MAR,50,0.32,C_no_prior
GradientBoosting,MAR_kidney_hemo,MAR,50,0.12,C_no_prior
GradientBoosting,MAR_mammographic_density,MAR,50,0.0,C_no_prior
GradientBoosting,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_no_prior
GradientBoosting,MAR_oceanbuoys_humidity,MAR,50,0.72,C_no_prior
GradientBoosting,MAR_sick_t3,MAR,50,0.0,C_no_prior
GradientBoosting,MAR_sick_tsh,MAR,50,0.0,C_no_prior
GradientBoosting,MAR_titanic_age,MAR,50,0.96,C_no_prior
GradientBoosting,MAR_titanic_age_v2,MAR,50,0.94,C_no_prior
GradientBoosting,MCAR_autompg_horsepower,MCAR,37,0.02702702702702703,C_no_prior
GradientBoosting,MCAR_breastcancer_barenuclei,MCAR,45,0.3333333333333333,C_no_prior
GradientBoosting,MCAR_cylinderbands_bladepressure,MCAR,50,0.1,C_no_prior
GradientBoosting,MCAR_cylinderbands_esavoltage,MCAR,50,0.02,C_no_prior
GradientBoosting,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_no_prior
GradientBoosting,MNAR_adult_capitalgain,MNAR,50,0.16,C_no_prior
GradientBoosting,MNAR_colic_refluxph,MNAR,50,0.26,C_no_prior
GradientBoosting,MNAR_cylinderbands_varnishpct,MNAR,50,0.04,C_no_prior
GradientBoosting,MNAR_kidney_pot,MNAR,50,0.26,C_no_prior
GradientBoosting,MNAR_kidney_sod,MNAR,50,0.36,C_no_prior
GradientBoosting,MNAR_mroz_wages,MNAR,50,0.1,C_no_prior
GradientBoosting,MNAR_pima_insulin,MNAR,50,0.0,C_no_prior
KNN,MAR_airquality_ozone,MAR,50,0.36,C_no_prior
KNN,MAR_colic_resprate,MAR,50,0.36,C_no_prior
KNN,MAR_hearth_chol,MAR,50,0.24,C_no_prior
KNN,MAR_kidney_hemo,MAR,50,0.3,C_no_prior
KNN,MAR_mammographic_density,MAR,50,0.2,C_no_prior
KNN,MAR_oceanbuoys_airtemp,MAR,50,0.9,C_no_prior
KNN,MAR_oceanbuoys_humidity,MAR,50,0.06,C_no_prior
KNN,MAR_sick_t3,MAR,50,0.1,C_no_prior
KNN,MAR_sick_tsh,MAR,50,0.06,C_no_prior
KNN,MAR_titanic_age,MAR,50,0.64,C_no_prior
KNN,MAR_titanic_age_v2,MAR,50,0.64,C_no_prior
KNN,MCAR_autompg_horsepower,MCAR,37,0.8918918918918919,C_no_prior
KNN,MCAR_breastcancer_barenuclei,MCAR,45,0.7777777777777778,C_no_prior
KNN,MCAR_cylinderbands_bladepressure,MCAR,50,0.12,C_no_prior
KNN,MCAR_cylinderbands_esavoltage,MCAR,50,0.12,C_no_prior
KNN,MCAR_hypothyroid_t4u,MCAR,50,0.1,C_no_prior
KNN,MNAR_adult_capitalgain,MNAR,50,0.38,C_no_prior
KNN,MNAR_colic_refluxph,MNAR,50,0.34,C_no_prior
KNN,MNAR_cylinderbands_varnishpct,MNAR,50,0.12,C_no_prior
KNN,MNAR_kidney_pot,MNAR,50,0.2,C_no_prior
KNN,MNAR_kidney_sod,MNAR,50,0.28,C_no_prior
KNN,MNAR_mroz_wages,MNAR,50,0.32,C_no_prior
KNN,MNAR_pima_insulin,MNAR,50,0.12,C_no_prior
LogisticRegression,MAR_airquality_ozone,MAR,50,0.82,C_no_prior
LogisticRegression,MAR_colic_resprate,MAR,50,0.36,C_no_prior
LogisticRegression,MAR_hearth_chol,MAR,50,0.56,C_no_prior
LogisticRegression,MAR_kidney_hemo,MAR,50,0.36,C_no_prior
LogisticRegression,MAR_mammographic_density,MAR,50,0.0,C_no_prior
LogisticRegression,MAR_oceanbuoys_airtemp,MAR,50,1.0,C_no_prior
LogisticRegression,MAR_oceanbuoys_humidity,MAR,50,0.56,C_no_prior
LogisticRegression,MAR_sick_t3,MAR,50,0.0,C_no_prior
LogisticRegression,MAR_sick_tsh,MAR,50,0.16,C_no_prior
LogisticRegression,MAR_titanic_age,MAR,50,0.78,C_no_prior
LogisticRegression,MAR_titanic_age_v2,MAR,50,0.68,C_no_prior
LogisticRegression,MCAR_autompg_horsepower,MCAR,37,0.6216216216216216,C_no_prior
LogisticRegression,MCAR_breastcancer_barenuclei,MCAR,45,0.8,C_no_prior
LogisticRegression,MCAR_cylinderbands_bladepressure,MCAR,50,0.46,C_no_prior
LogisticRegression,MCAR_cylinderbands_esavoltage,MCAR,50,0.16,C_no_prior
LogisticRegression,MCAR_hypothyroid_t4u,MCAR,50,0.02,C_no_prior
