missing_total,missing_X0,mi_mask,corr_mask,delta_mean,dixon_extreme_score,reg_auc,reg_coef_norm,little_pvalue,little_score,jj_pvalue,jj_score
0.0141999999999999,0.071,0.1463290870928298,-4.2423676495122076e-17,0.0,0.0,0.5590897375642444,0.23310832347383,0.9753859570719182,0.0108235013690971,0.8431113677538052,0.0741150550236487
0.0182,0.091,0.2062000941242891,-9.78866698407941e-18,-1.6653345369377348e-16,0.0,0.5669797749005671,0.2167965537668586,0.9757331987864072,0.0106689181273421,0.8442219488708603,0.07354336084119
0.009,0.045,0.1018438624341629,2.2815613693120753e-18,-1.1102230246251563e-16,0.0,0.5805933682373472,0.2960400256861967,0.9746617483887104,0.0111460779383191,0.8408200652993927,0.075296932868462
0.0162,0.081,0.1841911960724544,3.107910319548165e-17,0.0,0.0,0.5575437606630933,0.2050597092767476,0.9766548047698012,0.0102589090286629,0.8472086545965423,0.0720096163751662
0.0094,0.047,0.1040800375631707,-4.7065577381882354e-17,0.0,0.0,0.6441919135540621,0.5081259381815965,0.9634830294021064,0.0161559305175354,0.8089058593313398,0.0921020187485677
0.0168,0.084,0.207140133935216,-2.8585112831643193e-17,1.1102230246251563e-16,0.0,0.5434471823663963,0.1551748839052625,0.9841892524463706,0.0069213818631255,0.8742592048950324,0.0583597863975293
0.0172,0.086,0.1943122436369537,-8.313050331345895e-17,1.1102230246251563e-16,0.0,0.5642842603429852,0.2032130718363377,0.9759315846704946,0.0105806264332216,0.8448600137633581,0.0732152440520473
0.0021999999999999,0.011,0.0258962033146263,-7.689582572902184e-18,-1.1102230246251563e-16,0.0,0.8243404724698962,1.211850299453589,0.9388271481382708,0.0274143603642706,0.7526685384716911,0.1233962370860953
0.0048,0.024,0.0536247184893907,-4.181785757682432e-17,-1.1102230246251563e-16,0.0,0.6048497267759563,0.3123942735734829,0.9770985978189176,0.0100616099474198,0.8486679076299993,0.0712622203551284
0.0166,0.083,0.1989690677489787,-1.702119516752992e-17,-1.1102230246251563e-16,0.0,0.5349555254825189,0.1429059778723328,0.9805853799285568,0.0085145861700833,0.8606636441145266,0.0651665419790603
0.0186,0.093,0.2330469583494734,4.1705698549174424e-17,0.0,0.0,0.571457362686868,0.2428614683754446,0.9702322755131684,0.0131242823340299,0.8274667438235992,0.0822494516478693
0.0036,0.018,0.0430105738549119,7.25104122527217e-18,0.0,0.0,0.7137361393980539,0.6468116454001704,0.9559621545248036,0.0195593006176044,0.79014803914379,0.1022915333170648
0.0172,0.086,0.198886317317509,7.811014469537002e-17,3.3306690738754696e-16,0.0,0.5932904177904432,0.2961760672160371,0.9643572829866378,0.0157620353062631,0.8112072114370832,0.0908681972200453
0.0072,0.036,0.0846871312542814,-5.3804967456841395e-17,-5.551115123125783e-17,0.0,0.5909405255878285,0.3152081462059913,0.9717452106297468,0.0124475911671858,0.8319083899468712,0.0799244957418365
0.0108,0.054,0.1187637224746258,-2.4307325978297592e-17,0.0,0.0,0.5623482890924751,0.1910774701403841,0.981525304225644,0.0080984995852103,0.8640783469260468,0.0634468777814785
0.0056,0.028,0.062793956459352,-3.478352609549664e-17,-1.1102230246251563e-16,0.0,0.6000881834215167,0.3497502322357751,0.9742624039113328,0.0113240562399644,0.8395705884550237,0.0759427838764633
0.0121999999999999,0.061,0.1385939614941105,-3.5598341278670957e-17,-1.1102230246251563e-16,0.0,0.6147453691579811,0.4082715978813594,0.9616076903872852,0.0170020720890412,0.8040604439815306,0.0947113026185279
0.0034,0.017,0.0405332657257808,2.122636890781217e-17,0.0,0.0,0.6919394410867095,0.6674352602582276,0.9654772064344722,0.0152579748484216,0.8141968957053521,0.0892705577913108
0.0018,0.009,0.0207308266524672,1.6061461663709376e-17,5.551115123125783e-17,0.0,0.6161004596927907,0.3738524429962606,0.9862665941191832,0.0060056766354858,0.882810384927602,0.0541325666632767
0.0124,0.062,0.1424648722070486,-8.159940587344405e-18,0.0,0.0,0.5327395281656234,0.1106056475046196,0.9877378720052192,0.0053582941228978,0.8892655067524989,0.0509685529756652
0.0126,0.063,0.1400116434882645,2.7097949837263697e-18,1.6653345369377348e-16,0.0,0.5528959360336094,0.169789286363848,0.9833814748257252,0.0072779773116126,0.8710871411601042,0.0599383971944427
0.0214,0.107,0.2385871232402742,-4.046033885226221e-18,0.0,0.0,0.523511004594405,0.0971594694168813,0.9858871519754624,0.0061727930497909,0.8812024915053454,0.0549242835985584
0.0141999999999999,0.071,0.1584877830242152,-9.83706256777142e-19,-2.775557561562891e-16,0.0,0.5390015009323974,0.1545387206790381,0.9810866472319708,0.0082926350737171,0.8624741741779778,0.0642539005212606
0.0141999999999999,0.071,0.1599029078708908,-5.1206931920254776e-17,2.220446049250313e-16,0.0,0.5533134219742567,0.191008662878645,0.9848995101499064,0.0066080785518558,0.8771159495699564,0.056942991662621
0.0114,0.057,0.1266969678513873,-4.1973196106929824e-17,0.0,0.0,0.539543450354412,0.153105178040064,0.9849758005693382,0.0065744393585348,0.8774267589126332,0.0567891250360545
0.0209999999999999,0.105,0.2329735658765156,-1.177947720512514e-17,0.0,0.0,0.5099334929502527,0.0534651380879472,0.9920121669809384,0.003483001212476,0.9106253222715648,0.0406602771884877
0.0054,0.027,0.0640034033841696,4.5804031111572865e-17,0.0,0.0,0.588595790034639,0.3040948201963517,0.9819872660170464,0.0078941439181282,0.8657884729877732,0.0625882006331974
0.012,0.06,0.1336428656355881,2.0185258581586284e-17,1.1102230246251563e-16,0.0,0.633563829787234,0.4688114532148937,0.95315758798417,0.0208352904068141,0.7835689208643316,0.1059227980024658
